#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_Cu            v*n_Cu            mu_Cu            vth_Cu            v_Cu            n_Cu            sec.em.flux_Cu            EnergySrc_Cu            PartSrc_Cu            phi_Cu+           v*n_Cu+           mu_Cu+           vth_Cu+           v_Cu+           n_Cu+           sec.em.flux_Cu+           EnergySrc_Cu+           PartSrc_Cu+           
(37,33)	8.411E+005    341.4         -25.15        3.145E+006    2.273E+007    6.654E-005    2.985E-018    -2.865E+020   3.093E+020    -15.09        2.359E+006    1.387E+007    2.229E+013    0             757.2         5.958E+020    1.421E+021    1.421E+021    0.02157       1.466E+004    2.548E+004    5.577E+016    2.842E+020    0             0             2.259E+019    2.259E+019    0             577.2         8.926         2.531E+018    0             0             3.45E+019     1.173E+019    1.173E+019    0.04199       6429          3.853E+004    3.044E+014    1.173E+018    0             0             
(38,33)	8.464E+005    343.4         -25.17        3.151E+006    2.288E+007    6.736E-005    2.996E-018    -2.908E+020   3.139E+020    -15.1         2.363E+006    1.396E+007    2.248E+013    0             768.7         6.048E+020    1.443E+021    1.443E+021    0.02153       1.472E+004    2.559E+004    5.638E+016    2.885E+020    0             0             2.293E+019    2.293E+019    0             577.2         8.926         2.569E+018    0             0             3.512E+019    1.196E+019    1.196E+019    0.0418        6439          3.86E+004     3.099E+014    1.196E+018    0             0             
(39,33)	8.506E+005    345           -25.19        3.155E+006    2.3E+007      6.801E-005    3.005E-018    -2.944E+020   3.177E+020    -15.11        2.367E+006    1.404E+007    2.263E+013    0             778           6.121E+020    1.46E+021     1.46E+021     0.0215        1.477E+004    2.568E+004    5.687E+016    2.92E+020     0             0             2.316E+019    2.316E+019    0             577.2         8.926         2.594E+018    0             0             3.557E+019    1.212E+019    1.212E+019    0.04165       6448          3.865E+004    3.135E+014    1.212E+018    0             0             
(40,33)	8.535E+005    346.1         -25.2         3.159E+006    2.309E+007    6.843E-005    3.012E-018    -2.966E+020   3.202E+020    -15.12        2.369E+006    1.409E+007    2.272E+013    0             784           6.168E+020    1.472E+021    1.472E+021    0.02148       1.481E+004    2.574E+004    5.718E+016    2.943E+020    0             0             2.325E+019    2.325E+019    0             577.2         8.926         2.605E+018    0             0             3.578E+019    1.218E+019    1.218E+019    0.04154       6453          3.868E+004    3.148E+014    1.218E+018    0             0             
(41,33)	8.548E+005    346.6         -25.2         3.16E+006     2.312E+007    6.857E-005    3.015E-018    -2.974E+020   3.21E+020     -15.12        2.37E+006     1.411E+007    2.275E+013    0             786           6.184E+020    1.475E+021    1.475E+021    0.02147       1.482E+004    2.576E+004    5.727E+016    2.951E+020    0             0             2.319E+019    2.319E+019    0             577.2         8.926         2.598E+018    0             0             3.573E+019    1.213E+019    1.213E+019    0.0415        6456          3.87E+004     3.134E+014    1.213E+018    0             0             
(42,33)	8.54E+005     346.3         -25.2         3.16E+006     2.31E+007     6.836E-005    3.014E-018    -2.963E+020   3.198E+020    -15.12        2.37E+006     1.41E+007     2.268E+013    0             783.2         6.161E+020    1.47E+021     1.47E+021     0.02147       1.481E+004    2.575E+004    5.71E+016     2.94E+020     0             0             2.295E+019    2.295E+019    0             577.2         8.926         2.572E+018    0             0             3.537E+019    1.195E+019    1.195E+019    0.04152       6454          3.869E+004    3.088E+014    1.195E+018    0             0             
(43,33)	8.51E+005     345.3         -25.19        3.157E+006    2.302E+007    6.775E-005    3.008E-018    -2.931E+020   3.164E+020    -15.12        2.368E+006    1.405E+007    2.252E+013    0             774.7         6.095E+020    1.454E+021    1.454E+021    0.0215        1.478E+004    2.568E+004    5.662E+016    2.909E+020    0             0             2.251E+019    2.251E+019    0             577.2         8.926         2.522E+018    0             0             3.466E+019    1.163E+019    1.163E+019    0.04163       6448          3.865E+004    3.008E+014    1.163E+018    0             0             
(44,33)	8.454E+005    343.2         -25.17        3.151E+006    2.286E+007    6.673E-005    2.997E-018    -2.877E+020   3.106E+020    -15.1         2.363E+006    1.395E+007    2.226E+013    0             760.3         5.982E+020    1.427E+021    1.427E+021    0.02154       1.471E+004    2.557E+004    5.583E+016    2.854E+020    0             0             2.186E+019    2.186E+019    0             577.2         8.926         2.449E+018    0             0             3.357E+019    1.115E+019    1.115E+019    0.04184       6437          3.859E+004    2.891E+014    1.115E+018    0             0             
(45,33)	8.365E+005    340           -25.15        3.142E+006    2.261E+007    6.517E-005    2.98E-018     -2.794E+020   3.017E+020    -15.09        2.357E+006    1.38E+007     2.186E+013    0             738.6         5.812E+020    1.386E+021    1.386E+021    0.02161       1.461E+004    2.538E+004    5.461E+016    2.772E+020    0             0             2.098E+019    2.098E+019    0             577.2         8.926         2.351E+018    0             0             3.208E+019    1.053E+019    1.053E+019    0.04216       6419          3.848E+004    2.737E+014    1.053E+018    0             0             
(46,33)	8.238E+005    335.4         -25.1         3.129E+006    2.224E+007    6.302E-005    2.956E-018    -2.681E+020   2.896E+020    -15.06        2.347E+006    1.358E+007    2.132E+013    0             708.7         5.577E+020    1.33E+021     1.33E+021     0.02181       1.452E+004    2.522E+004    5.272E+016    2.659E+020    0             0             1.987E+019    1.987E+019    0             577.2         8.926         2.227E+018    0             0             3.018E+019    9.762E+018    9.762E+018    0.04306       6457          3.87E+004     2.522E+014    9.762E+017    0             0             
