#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,43)	-5.761E+004   2.166         -0.5786       2.283E+006    1.175E+006    0.0002316     1.574E-018    1.286E+020    1.297E+020    -0.3471       1.713E+006    8.763E+005    1.48E+014     0             0.2921        1.1E+018      2.455E+017    2.455E+017    0.004257      1278          884.4         2.776E+014    4.91E+016     0             0             4.295E+015    4.295E+015    0.007053      920           866.3         4.958E+012    8.59E+014     0             0             9.75E+018     9.75E+018     0             1263          631.6         1.544E+016    0             0             0             5.096E+018    5.096E+018    -0.3417       2.3E+006      1.17E+006     4.357E+012    5.096E+017    0             0             
(54,43)	2.564E+004    21.3          -0.604        2.482E+006    1.256E+006    0.0002604     1.859E-018    1.246E+020    1.323E+020    -0.3624       1.861E+006    9.399E+005    1.408E+014    0             7.606         7.696E+018    1.424E+018    1.424E+018    0.004314      1266          743.8         1.914E+015    2.847E+017    0             0             5.66E+016     5.66E+016     0.007011      898.6         629.1         8.997E+013    1.132E+016    0             0             2.035E+019    2.035E+019    0             1263          631.6         3.221E+016    0             0             0             2.557E+018    2.557E+018    -0.3417       2.3E+006      1.159E+006    2.207E+012    2.557E+017    0             0             
(16,44)	-3.062E+005   11.51         -0.6075       2.508E+006    1.44E+006     0.0002137     1.898E-018    1.18E+020     1.189E+020    -0.3645       1.881E+006    1.052E+006    1.131E+014    0             0.4167        9.865E+017    5.563E+017    5.563E+017    0.003773      1564          1937          2.872E+014    1.113E+017    0             0             3.865E+015    3.865E+015    0.008037      1605          3263          1.184E+012    7.73E+014     0             0             7.361E+018    7.361E+018    0             1263          631.6         1.165E+016    0             0             0             3.864E+018    3.864E+018    -0.3417       2.3E+006      1.255E+006    3.08E+012     3.864E+017    0             0             
(54,44)	-3.181E+005   28.21         -0.6414       2.745E+006    1.576E+006    0.0002811     2.274E-018    1.419E+020    1.43E+020     -0.3849       2.058E+006    1.152E+006    1.241E+014    0             0.8364        1.063E+018    1.433E+018    1.433E+018    0.003752      1582          1985          7.22E+014     2.865E+017    0             0             1.005E+016    1.005E+016    0.008         1643          3366          2.985E+012    2.01E+015     0             0             1.397E+019    1.397E+019    0             1263          631.6         2.212E+016    0             0             0             2.355E+018    2.355E+018    -0.3417       2.3E+006      1.259E+006    1.871E+012    2.355E+017    0             0             
(17,25)	2.796E+005    10.51         -0.5483       1.94E+006     1.123E+006    0.0003305     1.135E-018    3.089E+019    2.412E+020    -0.329        1.455E+006    8.193E+005    2.944E+014    0             228.2         2.103E+020    1.295E+020    1.295E+020    0.003855      1528          1842          7.031E+016    2.59E+019     0             0             3.035E+018    3.035E+018    0.00801       1507          2993          1.014E+015    6.07E+017     0             0             9.986E+018    9.986E+018    0             1263          631.6         1.581E+016    0             0             0             2.273E+018    2.273E+018    -0.3417       2.3E+006      1.246E+006    1.825E+012    2.273E+017    0             0             
(17,45)	-3.771E+005   18.25         -0.6101       2.526E+006    1.493E+006    0.0002244     1.926E-018    1.26E+020     1.27E+020     -0.3661       1.895E+006    1.085E+006    1.17E+014     0             0.451         1.043E+018    6.11E+017     6.11E+017     0.003631      1670          2204          2.772E+014    1.222E+017    0             0             3.679E+015    3.679E+015    0.007772      1823          3842          9.576E+011    7.358E+014    0             0             7.414E+018    7.414E+018    0             1263          631.6         1.174E+016    0             0             0             4.038E+018    4.038E+018    -0.3417       2.3E+006      1.279E+006    3.157E+012    4.038E+017    0             0             
(18,25)	-1.087E+005   4.086         -0.6374       2.716E+006    1.427E+006    0.001438      2.226E-018    6.853E+020    6.902E+020    -0.3824       2.037E+006    1.06E+006     6.512E+014    0             3.942         4.913E+018    7.43E+018     7.43E+018     0.004136      1313          1106          6.717E+015    1.486E+018    0             0             9.073E+016    9.073E+016    0.007366      993.1         1297          6.995E+013    1.815E+016    0             0             3.967E+019    3.967E+019    0             1263          631.6         6.281E+016    0             0             0             1.098E+019    1.098E+019    -0.3417       2.3E+006      1.187E+006    9.25E+012     1.098E+018    0             0             
(18,45)	-7.102E+004   13.83         -0.5823       2.317E+006    1.2E+006      0.0002257     1.621E-018    1.241E+020    1.252E+020    -0.3494       1.738E+006    8.938E+005    1.401E+014    0             0.3061        1.093E+018    2.794E+017    2.794E+017    0.004222      1286          942.8         2.964E+014    5.588E+016    0             0             4.426E+015    4.426E+015    0.007087      934           970.4         4.561E+012    8.852E+014    0             0             1.117E+019    1.117E+019    0             1263          631.6         1.769E+016    0             0             0             4.989E+018    4.989E+018    -0.3417       2.3E+006      1.174E+006    4.249E+012    4.989E+017    0             0             
(19,25)	-1.491E+006   56.06         -0.7072       3.197E+006    2.653E+006    0.01176       3.084E-018    6.969E+021    7.025E+021    -0.4243       2.398E+006    1.832E+006    3.835E+015    0             55.28         5.55E+019     1.055E+020    1.055E+020    0.002408      3131          5157          2.046E+016    2.11E+019     0             0             1.814E+017    1.814E+017    0.004268      3564          8146          2.226E+013    3.627E+016    0             0             1.462E+020    1.462E+020    0             1263          631.6         2.315E+017    0             0             0             7.389E+019    7.389E+019    -0.3417       2.3E+006      1.66E+006     4.452E+013    7.389E+018    0             0             
(19,45)	1.294E+005    12.43         -0.5622       2.122E+006    1.134E+006    0.0001677     1.359E-018    9.937E+019    1.044E+020    -0.3373       1.592E+006    8.394E+005    1.244E+014    0             4.399         5.048E+018    9.801E+017    9.801E+017    0.004136      1334          1202          8.153E+014    1.96E+017     0             0             4.867E+017    4.867E+017    0.007363      1032          1469          3.313E+014    9.735E+016    0             0             1.295E+019    1.295E+019    0             1263          631.6         2.051E+016    0             0             0             5.412E+018    5.412E+018    -0.3417       2.3E+006      1.194E+006    4.532E+012    5.412E+017    0             0             
