#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,41)	5467          0.2055        -0.5526       1.592E+006    7.989E+005    1.571E-011    7.648E-019    4.064E+012    1.23E+013     -0.3316       1.194E+006    5.987E+005    2.054E+007    0             6.275E-006    8.236E+012    9.405E+010    9.405E+010    0.004334      1263          655.4         1.435E+008    1.881E+010    0             0             7.496E+011    7.496E+011    0.00697       893.5         484.9         1.546E+009    1.499E+011    0             0             2.969E+016    2.969E+016    0             1263          631.6         4.701E+013    0             0             0             1.3E+013      1.3E+013      -0.3417       2.3E+006      1.152E+006    1.129E+007    1.3E+012      0             0             
(54,41)	1.403E+004    0.4994        -0.5527       1.591E+006    8.035E+005    3.454E-010    7.645E-019    -6.195E+012   2.717E+014    -0.3316       1.194E+006    6.014E+005    4.518E+008    0             0.0002869     2.779E+014    2.648E+011    2.648E+011    0.004325      1264          692.8         3.823E+008    5.297E+010    0             0             4.372E+013    4.372E+013    0.006977      894.9         545.3         8.018E+010    8.745E+012    0             0             2.978E+016    2.978E+016    0             1263          631.6         4.715E+013    0             0             0             1.514E+013    1.514E+013    -0.3417       2.3E+006      1.155E+006    1.311E+007    1.514E+012    0             0             
(16,42)	-4910         0.1846        -0.55         1.636E+006    8.207E+005    8.798E-012    8.079E-019    4.655E+012    6.699E+012    -0.33         1.227E+006    6.151E+005    1.089E+007    0             3.774E-007    2.044E+012    1.083E+010    1.083E+010    0.004335      1263          653           1.659E+007    2.167E+009    0             0             9.994E+010    9.994E+010    0.00697       893.5         481           2.078E+008    1.999E+010    0             0             2.3E+016      2.3E+016      0             1263          631.6         3.642E+013    0             0             0             9.972E+012    9.972E+012    -0.3417       2.3E+006      1.152E+006    8.659E+006    9.972E+011    0             0             
(54,42)	1.173E+004    0.3796        -0.5526       1.592E+006    8.026E+005    2.809E-010    7.652E-019    -4E+012       2.206E+014    -0.3316       1.194E+006    6.01E+005     3.671E+008    0             0.0002318     2.246E+014    1.106E+011    1.106E+011    0.004328      1264          682.8         1.62E+008     2.212E+010    0             0             3.443E+013    3.443E+013    0.00697       894.4         529           6.509E+010    6.886E+012    0             0             2.307E+016    2.307E+016    0             1263          631.6         3.653E+013    0             0             0             1.186E+013    1.186E+013    -0.3417       2.3E+006      1.154E+006    1.028E+007    1.186E+012    0             0             
(16,43)	-2.178E+004   0.8187        -0.5475       1.678E+006    8.508E+005    7.895E-012    8.495E-019    4.528E+012    5.913E+012    -0.3285       1.258E+006    6.363E+005    9.293E+006    0             2.221E-007    1.385E+012    5.056E+007    5.056E+007    0.004317      1266          726.8         6.956E+004    1.011E+007    0             0             5.424E+008    5.424E+008    0.007011      897.1         601.3         9.021E+005    1.085E+008    0             0             1.575E+016    1.575E+016    0             1263          631.6         2.494E+013    0             0             0             6.903E+012    6.903E+012    -0.3417       2.3E+006      1.157E+006    5.964E+006    6.903E+011    0             0             
(54,43)	2378          0.1158        -0.5515       1.611E+006    8.067E+005    7.693E-011    7.831E-019    1.206E+013    5.941E+013    -0.3309       1.208E+006    6.048E+005    9.823E+007    0             4.774E-005    4.736E+013    9.553E+009    9.553E+009    0.004338      1263          642           1.488E+007    1.911E+009    0             0             6.176E+012    6.176E+012    0.00697       893.3         463.2         1.333E+010    1.235E+012    0             0             1.58E+016     1.58E+016     0             1263          631.6         2.501E+013    0             0             0             8.428E+012    8.428E+012    -0.3417       2.3E+006      1.151E+006    7.324E+006    8.428E+011    0             0             
(16,44)	-2.093E+004   0.787         -0.5457       1.708E+006    8.653E+005    6.629E-012    8.803E-019    4.118E+012    4.874E+012    -0.3274       1.281E+006    6.473E+005    7.53E+006     0             1.214E-007    7.561E+011    4.817E+007    4.817E+007    0.004318      1265          723.1         6.662E+004    9.634E+006    0             0             6.195E+008    6.195E+008    0.007011      896.8         595.2         1.041E+006    1.239E+008    0             0             8.115E+015    8.115E+015    0             1263          631.6         1.285E+013    0             0             0             3.769E+012    3.769E+012    -0.3417       2.3E+006      1.157E+006    3.257E+006    3.769E+011    0             0             
(54,44)	147.3         0.1935        -0.5494       1.647E+006    8.235E+005    2.346E-011    8.185E-019    9.496E+012    1.77E+013     -0.3296       1.235E+006    6.176E+005    2.866E+007    0             7.672E-006    8.202E+012    9.147E+008    9.147E+008    0.00434       1263          632.3         1.447E+006    1.829E+008    0             0             9.262E+011    9.262E+011    0.00697       893.3         447.7         2.069E+009    1.852E+011    0             0             8.139E+015    8.139E+015    0             1263          631.6         1.289E+013    0             0             0             4.806E+012    4.806E+012    -0.3417       2.3E+006      1.15E+006     4.179E+006    4.806E+011    0             0             
(17,25)	-4.452E+005   16.74         -0.5591       2.086E+006    1.292E+006    7.263E-012    1.314E-018    3.233E+012    5.151E+012    -0.3354       1.565E+006    9.317E+005    5.528E+006    0             3.077E-007    1.918E+012    8.426E+008    8.426E+008    0.003513      1776          2452          3.436E+005    1.685E+008    0             0             5.322E+006    5.322E+006    0.007532      2025          4366          1219          1.064E+006    0             0             8.116E+015    8.116E+015    0             1263          631.6         1.285E+013    0             0             0             9.56E+012     9.56E+012     -0.3417       2.3E+006      1.302E+006    7.342E+006    9.56E+011     0             0             
(17,45)	8.411E+004    3.1           -0.5523       1.598E+006    8.452E+005    2.703E-011    7.703E-019    -3.611E+011   2.2E+013      -0.3314       1.198E+006    6.269E+005    3.51E+007     0             2.297E-005    2.236E+013    5.035E+011    5.035E+011    0.0042        1294          1000          5.032E+008    1.007E+011    0             0             5.876E+012    5.876E+012    0.007139      950.8         1076          5.462E+009    1.175E+012    0             0             8.115E+015    8.115E+015    0             1263          631.6         1.285E+013    0             0             0             3.547E+012    3.547E+012    -0.3417       2.3E+006      1.179E+006    3.009E+006    3.547E+011    0             0             
